algorithm,pop_size,n_gen,cross_prob,mut_prob,sla_violations,overall_allocation_cost,overloaded_data_centers,norm_sla_violations,norm_overall_allocation_cost
nsgaii,400,1100,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,1300,1.0,0.5,34.0,79800.0,0,0.7894736842105263,0.22857142857142856
nsgaii,300,1000,1.0,0.7,26.0,84100.0,0,0.5789473684210527,0.43333333333333335
nsgaii,400,1300,1.0,0.4,16.0,80800.0,0,0.3157894736842105,0.2761904761904762
nsgaii,300,900,1.0,0.8,34.0,84000.0,0,0.7894736842105263,0.42857142857142855
proposed_algorithm,0,0,1.0,0.0,12.0,76200.0,0,0.21052631578947367,0.05714285714285714
nsgaii,300,800,1.0,0.7,32.0,84000.0,0,0.7368421052631579,0.42857142857142855
nsgaii,300,800,1.0,0.4,16.0,82300.0,0,0.3157894736842105,0.3476190476190476
nsgaii,400,200,1.0,0.3,14.0,83600.0,0,0.2631578947368421,0.4095238095238095
nsgaii,400,500,1.0,1.0,39.0,85400.0,0,0.9210526315789473,0.49523809523809526
nsgaii,400,400,1.0,0.5,31.0,81600.0,0,0.7105263157894737,0.3142857142857143
nsgaii,400,1200,1.0,0.1,4.0,75400.0,0,0.0,0.01904761904761905
nsgaii,400,1300,1.0,0.6,26.0,82300.0,0,0.5789473684210527,0.3476190476190476
nsgaii,300,1000,1.0,0.6,30.0,82700.0,0,0.6842105263157895,0.36666666666666664
nsgaii,400,1400,1.0,0.9,13.0,94200.0,0,0.23684210526315788,0.9142857142857143
nsgaii,400,800,1.0,0.7,23.0,83500.0,0,0.5,0.40476190476190477
nsgaii,400,800,1.0,0.4,15.0,82000.0,0,0.2894736842105263,0.3333333333333333
nsgaii,400,800,1.0,1.0,23.0,89300.0,0,0.5,0.680952380952381
nsgaii,300,200,1.0,0.1,10.0,76200.0,0,0.15789473684210525,0.05714285714285714
nsgaii,300,600,1.0,0.0,9.0,75100.0,0,0.13157894736842105,0.004761904761904762
nsgaii,300,900,1.0,0.3,12.0,80400.0,0,0.21052631578947367,0.2571428571428571
nsgaii,300,500,1.0,0.6,29.0,82900.0,0,0.6578947368421053,0.3761904761904762
nsgaii,400,800,1.0,0.9,30.0,85300.0,0,0.6842105263157895,0.49047619047619045
nsgaii,400,1300,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,1500,1.0,0.1,5.0,75000.0,0,0.02631578947368421,0.0
nsgaii,400,1500,1.0,0.2,11.0,76100.0,0,0.18421052631578946,0.05238095238095238
nsgaii,300,400,1.0,0.3,38.0,79100.0,0,0.8947368421052632,0.19523809523809524
nsgaii,300,100,1.0,0.8,42.0,86400.0,0,1.0,0.5428571428571428
nsgaii,400,200,1.0,0.7,32.0,85500.0,0,0.7368421052631579,0.5
nsgaii,300,800,1.0,1.0,23.0,88400.0,0,0.5,0.638095238095238
nsgaii,300,700,1.0,0.3,9.0,85000.0,0,0.13157894736842105,0.47619047619047616
nsgaii,300,800,1.0,0.3,15.0,79500.0,0,0.2894736842105263,0.21428571428571427
nsgaii,400,500,1.0,0.7,20.0,87600.0,0,0.42105263157894735,0.6
nsgaii,400,800,1.0,0.2,11.0,77500.0,0,0.18421052631578946,0.11904761904761904
nsgaii,300,400,1.0,0.0,8.0,75200.0,0,0.10526315789473684,0.009523809523809525
nsgaii,300,100,1.0,0.7,41.0,85800.0,0,0.9736842105263158,0.5142857142857142
nsgaii,400,600,1.0,0.3,28.0,78300.0,0,0.631578947368421,0.15714285714285714
nsgaii,300,400,1.0,1.0,29.0,87500.0,0,0.6578947368421053,0.5952380952380952
nsgaii,400,1500,1.0,0.6,26.0,82300.0,0,0.5789473684210527,0.3476190476190476
nsgaii,400,600,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,100,1.0,0.2,23.0,81200.0,0,0.5,0.29523809523809524
nsgaii,400,200,1.0,0.8,35.0,86700.0,0,0.8157894736842105,0.5571428571428572
nsgaii,400,400,1.0,0.7,26.0,86500.0,0,0.5789473684210527,0.5476190476190477
nsgaii,400,200,1.0,1.0,31.0,89600.0,0,0.7105263157894737,0.6952380952380952
nsgaii,300,400,1.0,0.8,30.0,85800.0,0,0.6842105263157895,0.5142857142857142
nsgaii,400,1400,1.0,0.1,5.0,75000.0,0,0.02631578947368421,0.0
nsgaii,400,200,1.0,0.5,25.0,84900.0,0,0.5526315789473685,0.4714285714285714
nsgaii,400,900,1.0,0.4,15.0,82000.0,0,0.2894736842105263,0.3333333333333333
nsgaii,300,300,1.0,0.3,38.0,79100.0,0,0.8947368421052632,0.19523809523809524
nsgaii,300,700,1.0,0.6,29.0,82900.0,0,0.6578947368421053,0.3761904761904762
nsgaii,300,700,1.0,0.2,5.0,83000.0,0,0.02631578947368421,0.38095238095238093
nsgaii,300,200,1.0,0.3,24.0,81600.0,0,0.5263157894736842,0.3142857142857143
nsgaii,300,700,1.0,0.5,22.0,82800.0,0,0.47368421052631576,0.37142857142857144
nsgaii,400,1000,1.0,0.1,6.0,75000.0,0,0.05263157894736842,0.0
nsgaii,400,200,1.0,0.4,17.0,87600.0,0,0.34210526315789475,0.6
nsgaii,300,1000,1.0,1.0,24.0,87400.0,0,0.5263157894736842,0.5904761904761905
nsgaii,400,1500,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,800,1.0,0.5,11.0,95300.0,0,0.18421052631578946,0.9666666666666667
nsgaii,400,1400,1.0,0.8,16.0,89400.0,0,0.3157894736842105,0.6857142857142857
nsgaii,400,800,1.0,0.1,6.0,75100.0,0,0.05263157894736842,0.004761904761904762
nsgaii,300,900,1.0,0.2,5.0,81800.0,0,0.02631578947368421,0.3238095238095238
nsgaii,300,800,1.0,0.0,9.0,75100.0,0,0.13157894736842105,0.004761904761904762
nsgaii,300,200,1.0,0.5,14.0,91000.0,0,0.2631578947368421,0.7619047619047619
nsgaii,300,100,1.0,0.3,26.0,82100.0,0,0.5789473684210527,0.3380952380952381
nsgaii,400,1200,1.0,0.2,20.0,75700.0,0,0.42105263157894735,0.03333333333333333
nsgaii,300,900,1.0,0.7,32.0,84000.0,0,0.7368421052631579,0.42857142857142855
nsgaii,400,500,1.0,0.3,21.0,79200.0,0,0.4473684210526316,0.2
nsgaii,400,300,1.0,1.0,39.0,85400.0,0,0.9210526315789473,0.49523809523809526
nsgaii,400,800,1.0,0.6,26.0,82300.0,0,0.5789473684210527,0.3476190476190476
nsgaii,400,900,1.0,0.7,23.0,83500.0,0,0.5,0.40476190476190477
nsgaii,300,200,1.0,0.9,30.0,86200.0,0,0.6842105263157895,0.5333333333333333
nsgaii,300,300,1.0,0.5,14.0,91000.0,0,0.2631578947368421,0.7619047619047619
nsgaii,400,800,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,300,600,1.0,0.7,16.0,88300.0,0,0.3157894736842105,0.6333333333333333
nsgaii,400,900,1.0,0.6,26.0,82300.0,0,0.5789473684210527,0.3476190476190476
nsgaii,400,600,1.0,0.9,28.0,86900.0,0,0.631578947368421,0.5666666666666667
nsgaii,300,800,1.0,0.5,13.0,86700.0,0,0.23684210526315788,0.5571428571428572
nsgaii,300,700,1.0,0.4,20.0,81400.0,0,0.42105263157894735,0.3047619047619048
nsgaii,300,100,1.0,0.4,28.0,84300.0,0,0.631578947368421,0.44285714285714284
nsgaii,400,1200,1.0,0.7,23.0,83500.0,0,0.5,0.40476190476190477
nsgaii,400,1000,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,900,1.0,0.8,32.0,84700.0,0,0.7368421052631579,0.46190476190476193
nsgaii,300,500,1.0,0.1,12.0,75000.0,0,0.21052631578947367,0.0
nsgaii,400,500,1.0,0.4,26.0,80800.0,0,0.5789473684210527,0.2761904761904762
nsgaii,300,300,1.0,0.4,18.0,84600.0,0,0.3684210526315789,0.45714285714285713
nsgaii,300,300,1.0,1.0,22.0,96000.0,0,0.47368421052631576,1.0
nsgaii,400,1400,1.0,1.0,30.0,84400.0,0,0.6842105263157895,0.44761904761904764
nsgaii,400,700,1.0,0.5,32.0,81300.0,0,0.7368421052631579,0.3
nsgaii,400,400,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,1300,1.0,0.2,20.0,75700.0,0,0.42105263157894735,0.03333333333333333
nsgaii,300,600,1.0,0.8,34.0,84000.0,0,0.7894736842105263,0.42857142857142855
nsgaii,300,300,1.0,0.1,11.0,75200.0,0,0.18421052631578946,0.009523809523809525
nsgaii,300,600,1.0,0.6,29.0,82900.0,0,0.6578947368421053,0.3761904761904762
nsgaii,400,400,1.0,0.6,16.0,90300.0,0,0.3157894736842105,0.7285714285714285
nsgaii,300,300,1.0,0.8,28.0,87500.0,0,0.631578947368421,0.5952380952380952
nsgaii,400,900,1.0,0.5,11.0,95300.0,0,0.18421052631578946,0.9666666666666667
nsgaii,300,1000,1.0,0.8,34.0,84000.0,0,0.7894736842105263,0.42857142857142855
nsgaii,400,700,1.0,0.6,26.0,82300.0,0,0.5789473684210527,0.3476190476190476
nsgaii,300,500,1.0,0.3,12.0,83900.0,0,0.21052631578947367,0.4238095238095238
nsgaii,300,100,1.0,0.9,38.0,88000.0,0,0.8947368421052632,0.6190476190476191
nsgaii,400,1400,1.0,0.5,34.0,79800.0,0,0.7894736842105263,0.22857142857142856
nsgaii,300,700,1.0,0.9,30.0,86200.0,0,0.6842105263157895,0.5333333333333333
nsgaii,300,900,1.0,0.5,13.0,86700.0,0,0.23684210526315788,0.5571428571428572
nsgaii,400,400,1.0,0.2,8.0,81500.0,0,0.10526315789473684,0.30952380952380953
nsgaii,400,300,1.0,0.7,29.0,85600.0,0,0.6578947368421053,0.5047619047619047
nsgaii,400,1100,1.0,0.6,26.0,82300.0,0,0.5789473684210527,0.3476190476190476
nsgaii,400,400,1.0,0.8,41.0,84300.0,0,0.9736842105263158,0.44285714285714284
nsgaii,400,300,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,1200,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,1000,1.0,0.7,23.0,83500.0,0,0.5,0.40476190476190477
nsgaii,400,100,1.0,0.5,28.0,86700.0,0,0.631578947368421,0.5571428571428572
nsgaii,400,100,1.0,0.8,26.0,91100.0,0,0.5789473684210527,0.7666666666666667
nsgaii,400,1500,1.0,0.5,34.0,79800.0,0,0.7894736842105263,0.22857142857142856
nsgaii,300,500,1.0,0.0,9.0,75100.0,0,0.13157894736842105,0.004761904761904762
nsgaii,300,900,1.0,0.6,30.0,82700.0,0,0.6842105263157895,0.36666666666666664
nsgaii,400,1300,1.0,0.8,16.0,89400.0,0,0.3157894736842105,0.6857142857142857
nsgaii,400,100,1.0,0.7,27.0,90300.0,0,0.6052631578947368,0.7285714285714285
nsgaii,300,500,1.0,0.9,30.0,86200.0,0,0.6842105263157895,0.5333333333333333
nsgaii,300,600,1.0,0.4,25.0,81100.0,0,0.5526315789473685,0.2904761904761905
nsgaii,300,600,1.0,0.5,16.0,85800.0,0,0.3157894736842105,0.5142857142857142
nsgaii,300,600,1.0,1.0,20.0,94600.0,0,0.42105263157894735,0.9333333333333333
nsgaii,400,500,1.0,0.8,41.0,84300.0,0,0.9736842105263158,0.44285714285714284
nsgaii,400,300,1.0,0.6,30.0,84700.0,0,0.6842105263157895,0.46190476190476193
nsgaii,400,400,1.0,0.9,20.0,93700.0,0,0.42105263157894735,0.8904761904761904
nsgaii,400,400,1.0,0.3,18.0,80200.0,0,0.3684210526315789,0.24761904761904763
nsgaii,400,300,1.0,0.5,28.0,84100.0,0,0.631578947368421,0.43333333333333335
nsgaii,300,400,1.0,0.5,21.0,84100.0,0,0.4473684210526316,0.43333333333333335
nsgaii,300,300,1.0,0.0,8.0,75200.0,0,0.10526315789473684,0.009523809523809525
nsgaii,400,700,1.0,0.7,14.0,95800.0,0,0.2631578947368421,0.9904761904761905
nsgaii,300,1000,1.0,0.5,13.0,86700.0,0,0.23684210526315788,0.5571428571428572
nsgaii,400,900,1.0,0.9,30.0,85300.0,0,0.6842105263157895,0.49047619047619045
nsgaii,300,800,1.0,0.9,30.0,86200.0,0,0.6842105263157895,0.5333333333333333
nsgaii,300,500,1.0,0.5,23.0,83100.0,0,0.5,0.38571428571428573
nsgaii,400,700,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,1100,1.0,1.0,25.0,87600.0,0,0.5526315789473685,0.6
nsgaii,400,600,1.0,0.1,7.0,75100.0,0,0.07894736842105263,0.004761904761904762
nsgaii,400,1200,1.0,0.5,34.0,79800.0,0,0.7894736842105263,0.22857142857142856
nsgaii,300,100,1.0,0.6,25.0,90400.0,0,0.5526315789473685,0.7333333333333333
nsgaii,300,1000,1.0,0.0,8.0,75200.0,0,0.10526315789473684,0.009523809523809525
proposed_algorithm,0,0,1.0,0.0,12.0,76200.0,0,0.21052631578947367,0.05714285714285714
nsgaii,400,600,1.0,0.4,12.0,85100.0,0,0.21052631578947367,0.48095238095238096
nsgaii,300,700,1.0,1.0,23.0,88400.0,0,0.5,0.638095238095238
nsgaii,400,1200,1.0,0.8,16.0,89400.0,0,0.3157894736842105,0.6857142857142857
nsgaii,300,400,1.0,0.4,30.0,80800.0,0,0.6842105263157895,0.2761904761904762
nsgaii,400,1000,1.0,0.3,10.0,82500.0,0,0.15789473684210525,0.35714285714285715
nsgaii,400,200,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,400,1.0,0.4,18.0,83000.0,0,0.3684210526315789,0.38095238095238093
nsgaii,400,1300,1.0,0.9,13.0,94200.0,0,0.23684210526315788,0.9142857142857143
nsgaii,400,1000,1.0,0.8,18.0,88900.0,0,0.3684210526315789,0.6619047619047619
nsgaii,300,300,1.0,0.7,29.0,86400.0,0,0.6578947368421053,0.5428571428571428
nsgaii,400,700,1.0,1.0,23.0,89300.0,0,0.5,0.680952380952381
nsgaii,400,1400,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,900,1.0,0.2,6.0,80800.0,0,0.05263157894736842,0.2761904761904762
nsgaii,400,600,1.0,0.6,23.0,84800.0,0,0.5,0.4666666666666667
nsgaii,400,900,1.0,1.0,27.0,87200.0,0,0.6052631578947368,0.580952380952381
nsgaii,400,1000,1.0,0.9,30.0,85300.0,0,0.6842105263157895,0.49047619047619045
nsgaii,300,900,1.0,0.9,36.0,84700.0,0,0.8421052631578947,0.46190476190476193
nsgaii,400,900,1.0,0.1,4.0,75500.0,0,0.0,0.023809523809523808
nsgaii,400,700,1.0,0.3,12.0,82000.0,0,0.21052631578947367,0.3333333333333333
nsgaii,300,1000,1.0,0.3,18.0,78500.0,0,0.3684210526315789,0.16666666666666666
nsgaii,400,600,1.0,1.0,39.0,85400.0,0,0.9210526315789473,0.49523809523809526
nsgaii,400,100,1.0,0.4,37.0,82300.0,0,0.868421052631579,0.3476190476190476
nsgaii,400,1500,1.0,0.9,13.0,94200.0,0,0.23684210526315788,0.9142857142857143
nsgaii,300,800,1.0,0.8,34.0,84000.0,0,0.7894736842105263,0.42857142857142855
nsgaii,300,100,1.0,1.0,41.0,86900.0,0,0.9736842105263158,0.5666666666666667
nsgaii,400,1400,1.0,0.3,21.0,77500.0,0,0.4473684210526316,0.11904761904761904
nsgaii,300,100,1.0,0.2,20.0,80500.0,0,0.42105263157894735,0.2619047619047619
nsgaii,400,1300,1.0,0.7,23.0,83500.0,0,0.5,0.40476190476190477
nsgaii,300,300,1.0,0.2,7.0,82000.0,0,0.07894736842105263,0.3333333333333333
nsgaii,300,200,1.0,0.2,26.0,78000.0,0,0.5789473684210527,0.14285714285714285
nsgaii,300,700,1.0,0.7,32.0,84000.0,0,0.7368421052631579,0.42857142857142855
nsgaii,300,300,1.0,0.6,23.0,86200.0,0,0.5,0.5333333333333333
nsgaii,400,800,1.0,0.3,16.0,79400.0,0,0.3157894736842105,0.20952380952380953
nsgaii,300,800,1.0,0.6,30.0,82700.0,0,0.6842105263157895,0.36666666666666664
nsgaii,400,1000,1.0,0.5,11.0,95300.0,0,0.18421052631578946,0.9666666666666667
nsgaii,400,500,1.0,0.9,23.0,88400.0,0,0.5,0.638095238095238
nsgaii,400,500,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,500,1.0,0.5,31.0,81600.0,0,0.7105263157894737,0.3142857142857143
nsgaii,400,1200,1.0,1.0,25.0,87600.0,0,0.5526315789473685,0.6
nsgaii,300,200,1.0,0.4,16.0,86600.0,0,0.3157894736842105,0.5523809523809524
nsgaii,300,800,1.0,0.2,6.0,80300.0,0,0.05263157894736842,0.2523809523809524
nsgaii,400,1000,1.0,0.4,15.0,82000.0,0,0.2894736842105263,0.3333333333333333
nsgaii,400,1000,1.0,0.6,26.0,82300.0,0,0.5789473684210527,0.3476190476190476
nsgaii,400,1400,1.0,0.4,22.0,79100.0,0,0.47368421052631576,0.19523809523809524
nsgaii,400,300,1.0,0.2,8.0,87100.0,0,0.10526315789473684,0.5761904761904761
nsgaii,400,1100,1.0,0.7,23.0,83500.0,0,0.5,0.40476190476190477
nsgaii,400,100,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,100,1.0,0.1,13.0,78700.0,0,0.23684210526315788,0.1761904761904762
nsgaii,400,1500,1.0,0.3,21.0,77500.0,0,0.4473684210526316,0.11904761904761904
nsgaii,300,400,1.0,0.2,7.0,82000.0,0,0.07894736842105263,0.3333333333333333
nsgaii,300,500,1.0,0.8,17.0,92900.0,0,0.34210526315789475,0.8523809523809524
nsgaii,300,600,1.0,0.3,13.0,81600.0,0,0.23684210526315788,0.3142857142857143
nsgaii,300,100,1.0,0.5,41.0,84400.0,0,0.9736842105263158,0.44761904761904764
nsgaii,300,700,1.0,0.0,9.0,75100.0,0,0.13157894736842105,0.004761904761904762
nsgaii,400,1100,1.0,0.9,30.0,85300.0,0,0.6842105263157895,0.49047619047619045
nsgaii,300,400,1.0,0.6,29.0,82900.0,0,0.6578947368421053,0.3761904761904762
nsgaii,300,1000,1.0,0.2,7.0,78500.0,0,0.07894736842105263,0.16666666666666666
nsgaii,400,1200,1.0,0.4,16.0,80800.0,0,0.3157894736842105,0.2761904761904762
nsgaii,300,900,1.0,1.0,24.0,87400.0,0,0.5263157894736842,0.5904761904761905
nsgaii,400,700,1.0,0.2,8.0,79900.0,0,0.10526315789473684,0.23333333333333334
nsgaii,400,1200,1.0,0.9,30.0,85300.0,0,0.6842105263157895,0.49047619047619045
nsgaii,400,600,1.0,0.2,15.0,76700.0,0,0.2894736842105263,0.08095238095238096
nsgaii,400,1300,1.0,1.0,30.0,84400.0,0,0.6842105263157895,0.44761904761904764
nsgaii,300,500,1.0,0.7,23.0,86200.0,0,0.5,0.5333333333333333
nsgaii,400,1300,1.0,0.3,21.0,77500.0,0,0.4473684210526316,0.11904761904761904
nsgaii,300,200,1.0,0.6,30.0,84000.0,0,0.6842105263157895,0.42857142857142855
nsgaii,300,600,1.0,0.2,5.0,83000.0,0,0.02631578947368421,0.38095238095238093
nsgaii,300,800,1.0,0.1,10.0,75100.0,0,0.15789473684210525,0.004761904761904762
nsgaii,300,300,1.0,0.9,30.0,86200.0,0,0.6842105263157895,0.5333333333333333
nsgaii,400,700,1.0,0.9,22.0,89100.0,0,0.47368421052631576,0.6714285714285714
nsgaii,400,1400,1.0,0.2,11.0,76100.0,0,0.18421052631578946,0.05238095238095238
nsgaii,400,1100,1.0,0.3,21.0,77500.0,0,0.4473684210526316,0.11904761904761904
nsgaii,400,1500,1.0,0.7,23.0,83500.0,0,0.5,0.40476190476190477
nsgaii,400,200,1.0,0.9,41.0,86400.0,0,0.9736842105263158,0.5428571428571428
nsgaii,400,1100,1.0,0.2,16.0,76100.0,0,0.3157894736842105,0.05238095238095238
nsgaii,300,1000,1.0,0.1,10.0,75100.0,0,0.15789473684210525,0.004761904761904762
nsgaii,400,700,1.0,0.1,5.0,75600.0,0,0.02631578947368421,0.02857142857142857
nsgaii,400,1200,1.0,0.3,21.0,77500.0,0,0.4473684210526316,0.11904761904761904
nsgaii,400,1000,1.0,0.2,7.0,79100.0,0,0.07894736842105263,0.19523809523809524
nsgaii,400,300,1.0,0.1,7.0,75500.0,0,0.07894736842105263,0.023809523809523808
nsgaii,300,200,1.0,0.0,9.0,75100.0,0,0.13157894736842105,0.004761904761904762
nsgaii,300,100,1.0,0.1,21.0,76900.0,0,0.4473684210526316,0.09047619047619047
nsgaii,300,700,1.0,0.1,10.0,75100.0,0,0.15789473684210525,0.004761904761904762
nsgaii,400,800,1.0,0.8,32.0,84700.0,0,0.7368421052631579,0.46190476190476193
nsgaii,400,200,1.0,0.2,10.0,83600.0,0,0.15789473684210525,0.4095238095238095
nsgaii,400,1100,1.0,0.1,6.0,75000.0,0,0.05263157894736842,0.0
nsgaii,400,900,1.0,0.3,10.0,82500.0,0,0.15789473684210525,0.35714285714285715
nsgaii,400,200,1.0,0.6,37.0,83900.0,0,0.868421052631579,0.4238095238095238
nsgaii,300,100,1.0,0.0,9.0,75100.0,0,0.13157894736842105,0.004761904761904762
nsgaii,300,400,1.0,0.7,20.0,88700.0,0,0.42105263157894735,0.6523809523809524
nsgaii,400,700,1.0,0.8,41.0,84300.0,0,0.9736842105263158,0.44285714285714284
nsgaii,400,100,1.0,0.3,24.0,82300.0,0,0.5263157894736842,0.3476190476190476
nsgaii,300,900,1.0,0.4,23.0,79300.0,0,0.5,0.20476190476190476
nsgaii,300,400,1.0,0.1,12.0,75000.0,0,0.21052631578947367,0.0
nsgaii,300,600,1.0,0.9,30.0,86200.0,0,0.6842105263157895,0.5333333333333333
nsgaii,400,1100,1.0,0.4,16.0,80800.0,0,0.3157894736842105,0.2761904761904762
nsgaii,300,500,1.0,1.0,29.0,87500.0,0,0.6578947368421053,0.5952380952380952
nsgaii,400,100,1.0,0.6,31.0,87000.0,0,0.7105263157894737,0.5714285714285714
nsgaii,300,600,1.0,0.1,10.0,75100.0,0,0.15789473684210525,0.004761904761904762
nsgaii,400,1400,1.0,0.7,23.0,83500.0,0,0.5,0.40476190476190477
nsgaii,300,900,1.0,0.0,8.0,75200.0,0,0.10526315789473684,0.009523809523809525
nsgaii,400,1200,1.0,0.6,26.0,82300.0,0,0.5789473684210527,0.3476190476190476
nsgaii,400,300,1.0,0.8,41.0,84300.0,0,0.9736842105263158,0.44285714285714284
nsgaii,400,500,1.0,0.2,8.0,81500.0,0,0.10526315789473684,0.30952380952380953
nsgaii,400,1400,1.0,0.6,26.0,82300.0,0,0.5789473684210527,0.3476190476190476
nsgaii,400,300,1.0,0.3,21.0,80000.0,0,0.4473684210526316,0.23809523809523808
nsgaii,300,200,1.0,0.7,33.0,85900.0,0,0.7631578947368421,0.5190476190476191
nsgaii,400,300,1.0,0.9,20.0,93700.0,0,0.42105263157894735,0.8904761904761904
nsgaii,400,1500,1.0,0.8,16.0,89400.0,0,0.3157894736842105,0.6857142857142857
nsgaii,400,900,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,500,1.0,0.1,5.0,76100.0,0,0.02631578947368421,0.05238095238095238
nsgaii,300,1000,1.0,0.4,23.0,79300.0,0,0.5,0.20476190476190476
nsgaii,400,600,1.0,0.5,32.0,81300.0,0,0.7368421052631579,0.3
nsgaii,300,900,1.0,0.1,10.0,75100.0,0,0.15789473684210525,0.004761904761904762
nsgaii,400,1300,1.0,0.1,5.0,75000.0,0,0.02631578947368421,0.0
nsgaii,300,700,1.0,0.8,34.0,84000.0,0,0.7894736842105263,0.42857142857142855
nsgaii,400,200,1.0,0.1,13.0,75400.0,0,0.23684210526315788,0.01904761904761905
nsgaii,400,1500,1.0,1.0,30.0,84400.0,0,0.6842105263157895,0.44761904761904764
nsgaii,400,1500,1.0,0.4,22.0,79100.0,0,0.47368421052631576,0.19523809523809524
nsgaii,400,1000,1.0,1.0,25.0,87600.0,0,0.5526315789473685,0.6
nsgaii,400,700,1.0,0.4,15.0,82000.0,0,0.2894736842105263,0.3333333333333333
nsgaii,400,100,1.0,0.9,27.0,93300.0,0,0.6052631578947368,0.8714285714285714
nsgaii,400,1100,1.0,0.5,11.0,95300.0,0,0.18421052631578946,0.9666666666666667
nsgaii,300,500,1.0,0.4,25.0,81100.0,0,0.5526315789473685,0.2904761904761905
nsgaii,300,1000,1.0,0.9,36.0,84700.0,0,0.8421052631578947,0.46190476190476193
nsgaii,400,300,1.0,0.4,15.0,87800.0,0,0.2894736842105263,0.6095238095238096
nsgaii,400,600,1.0,0.8,41.0,84300.0,0,0.9736842105263158,0.44285714285714284
nsgaii,300,200,1.0,1.0,41.0,86900.0,0,0.9736842105263158,0.5666666666666667
nsgaii,300,400,1.0,0.9,30.0,86200.0,0,0.6842105263157895,0.5333333333333333
nsgaii,400,1100,1.0,0.8,16.0,89400.0,0,0.3157894736842105,0.6857142857142857
nsgaii,400,100,1.0,1.0,37.0,88400.0,0,0.868421052631579,0.638095238095238
nsgaii,300,200,1.0,0.8,24.0,89400.0,0,0.5263157894736842,0.6857142857142857
nsgaii,400,500,1.0,0.6,16.0,90300.0,0,0.3157894736842105,0.7285714285714285
nsgaii,300,500,1.0,0.2,5.0,83000.0,0,0.02631578947368421,0.38095238095238093
nsgaii,400,400,1.0,0.1,6.0,75600.0,0,0.05263157894736842,0.02857142857142857
nsgaii,400,400,1.0,1.0,39.0,85400.0,0,0.9210526315789473,0.49523809523809526
nsgaii,400,600,1.0,0.7,20.0,87600.0,0,0.42105263157894735,0.6
